date,datatype,station,attributes,value
1893-04-23T00:00:00,TMAX,GHCND:USC00422721,",,6,",161
1893-04-23T00:00:00,TMIN,GHCND:USC00422721,",,6,",11
1893-04-24T00:00:00,TMAX,GHCND:USC00422721,",,6,",94
1893-04-24T00:00:00,TMIN,GHCND:USC00422721,",,6,",-11
1893-04-25T00:00:00,PRCP,GHCND:USC00422721,",,6,",3
1893-04-25T00:00:00,TMAX,GHCND:USC00422721,",,6,",100
1893-04-25T00:00:00,TMIN,GHCND:USC00422721,",,6,",39
1893-04-26T00:00:00,TMAX,GHCND:USC00422721,",,6,",156
1893-04-26T00:00:00,TMIN,GHCND:USC00422721,",,6,",72
1893-04-27T00:00:00,TMAX,GHCND:USC00422721,",,6,",144
1893-04-27T00:00:00,TMIN,GHCND:USC00422721,",,6,",83
1893-04-28T00:00:00,TMAX,GHCND:USC00422721,",,6,",144
1893-04-28T00:00:00,TMIN,GHCND:USC00422721,",,6,",56
1893-04-29T00:00:00,TMAX,GHCND:USC00422721,",,6,",100
1893-04-29T00:00:00,TMIN,GHCND:USC00422721,",,6,",28
1893-04-30T00:00:00,PRCP,GHCND:USC00422721,",,6,",64
1893-04-30T00:00:00,TMAX,GHCND:USC00422721,",,6,",106
1893-04-30T00:00:00,TMIN,GHCND:USC00422721,",,6,",-11
1893-05-01T00:00:00,TMAX,GHCND:USC00422721,",,6,",117
1893-05-01T00:00:00,TMIN,GHCND:USC00422721,",,6,",39
1893-05-02T00:00:00,TMAX,GHCND:USC00422721,",,6,",150
1893-05-02T00:00:00,TMIN,GHCND:USC00422721,",,6,",28
1893-05-03T00:00:00,TMAX,GHCND:USC00422721,",,6,",139
1893-05-03T00:00:00,TMIN,GHCND:USC00422721,",,6,",28
1893-05-04T00:00:00,TMAX,GHCND:USC00422721,",,6,",111
1893-05-04T00:00:00,TMIN,GHCND:USC00422721,",,6,",0
1893-05-05T00:00:00,TMAX,GHCND:USC00422721,",,6,",111
1893-05-05T00:00:00,TMIN,GHCND:USC00422721,",,6,",39
1893-05-06T00:00:00,PRCP,GHCND:USC00422721,",,6,",107
1893-05-06T00:00:00,TMAX,GHCND:USC00422721,",,6,",106
1893-05-06T00:00:00,TMIN,GHCND:USC00422721,",,6,",39
1893-05-07T00:00:00,TMAX,GHCND:USC00422721,",,6,",178
1893-05-07T00:00:00,TMIN,GHCND:USC00422721,",,6,",67
1893-05-08T00:00:00,TMAX,GHCND:USC00422721,",,6,",206
1893-05-08T00:00:00,TMIN,GHCND:USC00422721,",,6,",178
1893-05-09T00:00:00,TMAX,GHCND:USC00422721,",,6,",222
1893-05-09T00:00:00,TMIN,GHCND:USC00422721,",,6,",50
1893-05-10T00:00:00,TMAX,GHCND:USC00422721,",,6,",178
1893-05-10T00:00:00,TMIN,GHCND:USC00422721,",,6,",50
1893-05-11T00:00:00,TMAX,GHCND:USC00422721,",,6,",222
1893-05-11T00:00:00,TMIN,GHCND:USC00422721,",,6,",72
1893-05-12T00:00:00,TMAX,GHCND:USC00422721,",,6,",244
1893-05-13T00:00:00,TMAX,GHCND:USC00422721,",,6,",256
1893-05-13T00:00:00,TMIN,GHCND:USC00422721,",,6,",128
1893-05-14T00:00:00,TMAX,GHCND:USC00422721,",,6,",256
1893-05-14T00:00:00,TMIN,GHCND:USC00422721,",,6,",94
1893-05-15T00:00:00,TMAX,GHCND:USC00422721,",,6,",300
1893-05-15T00:00:00,TMIN,GHCND:USC00422721,",,6,",106
1893-05-16T00:00:00,TMAX,GHCND:USC00422721,",,6,",294
