date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-04-28T00:00:00,,,,144.0,56.0,,,,",,6,",",,6,"
1893-04-29T00:00:00,,,,100.0,28.0,,,,",,6,",",,6,"
1893-04-30T00:00:00,64.0,,,106.0,-11.0,",,6,",,,",,6,",",,6,"
1893-05-01T00:00:00,,,,117.0,39.0,,,,",,6,",",,6,"
1893-05-02T00:00:00,,,,150.0,28.0,,,,",,6,",",,6,"
1893-05-03T00:00:00,,,,139.0,28.0,,,,",,6,",",,6,"
1893-05-04T00:00:00,,,,111.0,0.0,,,,",,6,",",,6,"
1893-05-05T00:00:00,,,,111.0,39.0,,,,",,6,",",,6,"
1893-05-06T00:00:00,107.0,,,106.0,39.0,",,6,",,,",,6,",",,6,"
1893-05-07T00:00:00,,,,178.0,67.0,,,,",,6,",",,6,"
1893-05-08T00:00:00,,,,206.0,178.0,,,,",,6,",",,6,"
1893-05-09T00:00:00,,,,222.0,50.0,,,,",,6,",",,6,"
1893-05-10T00:00:00,,,,178.0,50.0,,,,",,6,",",,6,"
1893-05-11T00:00:00,,,,222.0,72.0,,,,",,6,",",,6,"
1893-05-12T00:00:00,,,,244.0,,,,,",,6,",
1893-05-13T00:00:00,,,,256.0,128.0,,,,",,6,",",,6,"
1893-05-14T00:00:00,,,,256.0,94.0,,,,",,6,",",,6,"
1893-05-15T00:00:00,,,,300.0,106.0,,,,",,6,",",,6,"
1893-05-16T00:00:00,,,,294.0,178.0,,,,",,6,",",,6,"
1893-05-17T00:00:00,,,,261.0,183.0,,,,",,6,",",,6,"
1893-05-18T00:00:00,48.0,,,244.0,,",,6,",,,",,6,",
1893-05-19T00:00:00,,,,178.0,50.0,,,,",,6,",",,6,"
1893-05-20T00:00:00,,,,206.0,94.0,,,,",,6,",",,6,"
1893-05-21T00:00:00,,,,239.0,44.0,,,,",,6,",",,6,"
1893-05-22T00:00:00,,,,167.0,22.0,,,,",,6,",",,6,"
1893-05-23T00:00:00,,,,128.0,72.0,,,,",,6,",",,6,"
1893-05-24T00:00:00,,,,106.0,44.0,,,,",,6,",",,6,"
1893-05-25T00:00:00,107.0,,,83.0,22.0,",,6,",,,",,6,",",,6,"
1893-05-26T00:00:00,,,,144.0,11.0,,,,",,6,",",,6,"
1893-05-27T00:00:00,,,,161.0,33.0,,,,",,6,",",,6,"
1893-05-28T00:00:00,,,,200.0,33.0,,,,",,6,",",,6,"
1893-05-29T00:00:00,,,,244.0,50.0,,,,",,6,",",,6,"
1893-05-30T00:00:00,,,,167.0,33.0,,,,",,6,",",,6,"
1893-05-31T00:00:00,,,,217.0,44.0,,,,",,6,",",,6,"
1893-06-01T00:00:00,0.0,,,194.0,94.0,"P,,6,",,,",,6,",",,6,"
1893-06-02T00:00:00,0.0,,,222.0,100.0,"P,,6,",,,",,6,",",,6,"
1893-06-03T00:00:00,0.0,,,222.0,56.0,"P,,6,",,,",,6,",",,6,"
1893-06-04T00:00:00,0.0,,,194.0,44.0,"P,,6,",,,",,6,",",,6,"
1893-06-05T00:00:00,0.0,,,228.0,44.0,"P,,6,",,,",,6,",",,6,"
1893-06-06T00:00:00,0.0,,,306.0,78.0,"P,,6,",,,",,6,",",,6,"
1893-06-07T00:00:00,0.0,,,267.0,117.0,"P,,6,",,,",,6,",",,6,"
1893-06-08T00:00:00,0.0,,,256.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-06-09T00:00:00,0.0,,,283.0,106.0,"P,,6,",,,",,6,",",,6,"
1893-06-10T00:00:00,0.0,,,339.0,122.0,"P,,6,",,,",,6,",",,6,"
1893-06-11T00:00:00,0.0,,,311.0,211.0,"P,,6,",,,",,6,",",,6,"
1893-06-12T00:00:00,0.0,,,311.0,183.0,"P,,6,",,,",,6,",",,6,"
1893-06-13T00:00:00,0.0,,,222.0,111.0,"P,,6,",,,",,6,",",,6,"
1893-06-14T00:00:00,0.0,,,194.0,50.0,"P,,6,",,,",,6,",",,6,"
1893-06-15T00:00:00,0.0,,,244.0,61.0,"P,,6,",,,",,6,",",,6,"
1893-06-16T00:00:00,0.0,,,322.0,72.0,"P,,6,",,,",,6,",",,6,"
1893-06-17T00:00:00,0.0,,,333.0,133.0,"P,,6,",,,",,6,",",,6,"
